rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
4,Central Cafe Brooklyn,CoQBdgAAAMWpehafEwskT1vrGVPFzZ-1Q-iOP2zMiPRUm4RYb23Krhqpd2M1uXmVUmtPErudqfQdFwCtBhqlo8fBJIs6eOpUzIbilQO-SuMCoOW4zsjR7kMGh44onjBV7YkWeffrdcjKLSGx24pwEvaa8A3dFXehfL5zAxdTpWN6gvelKa37EhBKsLf1w-V9GcjWPBqRrvAbGhTkDgPTkmGq9oJ1psL2E1eWxmrpXw,,40.700214,-73.929428,{'open_now': False},"108 Central Ave, New York","[{'height': 427, 'html_attributions': [], 'photo_reference': 'CnRnAAAASjRMoArhL7aHlgg15O2l5RT-3lbO0jVABNl4rjUUbuCEL9bHWoVMrFTomt0nj65O1G_MGE_faqgJFX1C96VQ8uUxMglT-XSsQ-x16Tsj8nw1ZEPiAn-yktyuCIMlA6YJRx5_0wQdEpJxEn81-S6o8xIQ7DYV2TxjHZXIuv7kWHSWsBoU8S6zZIKRgJHieDy9Y3G90TpoI4c', 'width': 640}]",45f9e8325c1e9fd92b1b7fcfb58e2145f0414a9d,"['cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Aleef Coffee House Inc,CoQBeAAAAEg6zXuWg2MbMDV0PV42bsZiHq0k3ND-W2quQ4sH3N_rZcMRCfIrxppNhWJXlPSG67WKUXrYx-UjleF0V7WunICq6isbcVqAASJrESE05J1R3yXikfxjFUH7PMn0X8CgXe5NLtt18P-N3DupXZc51pA87kxH14fnaL1Tbb6KNNcdEhAlq2lE4MeX1z4ha1ueqd5UGhSjKpk5LD5_4Q_baPQqPNr_4P12Lg,1,40.756169,-73.992579,{'open_now': False},"333 W 39th St, New York","[{'height': 150, 'html_attributions': [], 'photo_reference': 'CnRnAAAALkL6-f0UsxDXzrB9ok406N_DdkE00bK_N1JLKXLz8novnnVZ6wKAZU7QTLqRa1x5rkLHtLpS2YHBC1jh7t6DMbO8wFY6yP2Q9PAJS8xxXl1jC7jqHFD5eEPqQN9z7UQq_DcKqqlkGj4qNbus3r-riRIQT09FaNPodwA7WelHdXMA8xoUSikqwQWr2QuKzH4B15mzEgmsIbQ', 'width': 150}]",19c262f34a3bd6c7e2b21c29b5a8f295150dc4bc,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.7,Starbucks,CnRrAAAAkGNFR2Sz8Rt3VCrc5vXGH2SD7XvVl4rAUsNjX6U8_FfBITCtryvxSM7gBf65M4LiAB8Gx9baB7k9TlUSdumjz1HB-zTjMTl8RGm4kA-t3uMlfsSBQ7sD1Gda0zaxJY6VlmhDRs07OlOt_XCSpaBDWhIQd5aR6aAzbqMrVoAv17cXyxoU1MUAuJc5IQK2Ler__3SBi99Rj2Y,1,40.769435,-73.984914,{'open_now': False},"2 Columbus Cir, New York","[{'height': 1536, 'html_attributions': ['<a href=""https://plus.google.com/108899565426739754518"">David Ratliff</a>'], 'photo_reference': 'CnRsAAAAiEDxruUeViXxKO-7dxV_t9NtBqvGKAnNZYLzoF1Mp63XtZjymB7tVcuIOPC9P06_X4GO1sBzD0TXtu84YdXIIGLIDWTCJS3qdBpnwJURE54q9Hor96uDqap89-euE8hriZvumflqBEUst299-QegGxIQrdupcfS4ixEVxcvOHCPpFBoUaKPEcXZJV8Ixno9EywOnBajErvU', 'width': 2048}]",de5382a689357675d62313c520dc096f2b6f9e4b,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Au Bon Pain,CnRsAAAA9QYE3r5a0nmbp0i6yyTgKVkR0FU1QcPr6xC8WOvmJ7wqW3w6ytl2xgwdVGO0MqSJJRC23p0HGRarAJKFcP0dtnQLaRnXV8XBghZbI3ak3q6_J7ZmSOyB043FUtO4-7XpgvpmH7uvkPh-VZQ9EENpbxIQgWPqtZOnAg42IR-qOJypMBoUHLCbrD5y99NxU2pQPVbZsVC3HAc,2,40.750672,-73.993052,{'open_now': True},"Pennsylvania Plaza, New York",,d3f6036d8fa485685ca75719b3fac6cd0d888ec9,"['meal_takeaway', 'restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
3.4,Dunkin' Donuts,CnRvAAAAw2OMpdM1-gg3-R-sUEQmwovMElS4qqgoYXVXcodJyTamfCxqbCygCFKuqc8FQs_mutONQqRflYU6ozg7LxjXytHd9PB2jXZNWl5uXPJ9edm4GLeUr_Y9nibVAMq1MFr4oVgUyeFohkG4axIsEVy57BIQ9n6nmnkifPhzlg0OYRXSdxoUygZ-o21ID3s9tLWiMi0avKEaEKo,1,40.878322,-73.885999,{'open_now': True},"3276 Jerome Ave, Bronx","[{'height': 1224, 'html_attributions': ['<a href=""https://plus.google.com/107436446493887052605"">Amir Khasru</a>'], 'photo_reference': 'CnRoAAAAmChFLSYR2VJniHTZIN6tmGr_XJjhK5RxaBAJAjtfpv6xbeKKzlwp9vBrf9ub2-TeRzHEsMM7hh0rFPGQwWJkU2fgwDFB2vjZbyyjHG1QdyfVOwdJDO9eZqgAHPYp0oONZH-0dDzTeBBTFft8iGjWHBIQNfEOGsloPYzZ4eUYKWyeEhoUJbD1XfvKsH4M1fhzkce8NEkYzeQ', 'width': 1632}]",153ffb289b7434901ff89c66b2dc5e95d1e5d195,"['store', 'meal_takeaway', 'cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Rustica Cafe,CnRtAAAAEWX-XQe895s-bTzP5K3iijKxc6pyPxC1CciiNrVP7pLXZ1ALXptCYI39W9PtGqyr7FzAS7IBFBuM6u6SjPVBlmGrXNoVer3x0RZjfXXlXrBL1lT8KWOQoxZ2adLp3ZaJxHaTc9341f1emLmSZZWYFhIQ9uj49JSltQqWJtlF_PdoihoUEzGzHZpakhxBwvyQOtXEiQquK6I,,40.625124,-74.03054,,"8320 3rd Ave, Brooklyn",,4581bb77871ab0fc0ab26e896704d82f3d56333d,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Arthur Avenue Trattoria,CoQBeQAAANVn9oK6pnXAeK-Z37Rgs-QEDKun2tdZnyKDfrI63VomedIA6HRqNSdg5pXmdCYhVd_qnwMcVgg4SO8XM9YvJ2Mj-CkB9beekL8Ze1qEPQIJi9_rzV0W6HeN8fldXS9wm2qvyvy0OELizJEeY8PPwHdj1GIpH_S0w1trzVvn0UGSEhAU_RvTKh8A2Sf8A_hMOXQMGhQwGW7pUVvU2JC2po9eu-W9uN90Vg,,40.854046,-73.889015,{'open_now': False},"2329 Arthur Ave, Bronx","[{'height': 918, 'html_attributions': ['<a href=""https://plus.google.com/102389438862630251080"">Yolanda Shoshana</a>'], 'photo_reference': 'CnRoAAAAPXNpzZXBPHE8ny1gfe7LIl7Q0pqLnVtuHdEPwKwC_fgKsgKL4n7Vb0VhXZwvj1j1GkZyiqAtS9gfUqTYMh86xebfXBV8xpDzqDVOrslml-G-aoqYpTPS_-xPg4TT2bYlycMaOgXC3SKLxG4KLt1WzxIQPT3KAtk7Po5tukMSGqpsDxoUsaB0NW-60M3YArOerD1MzUnYBaY', 'width': 1632}]",8e1fcdd89dfa68115bd035060fe70e9b4084b68f,"['restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Doctors Cave Cafe Kitchen,CoQBfAAAAErHkRdYGZf61NXhGRZ-FuDu3JJ6u-SBbSHLrYCNkwpAHC5rlgzZfQmT0kkpuqgi_KxxCT7Q17Fs9AM4TyzX-BQMV_XV7aXFi3HNklZsT2be0KcfQFl73w3_Jyu2bVRk1hPkqlOPm5eE2yEWHBm4LqDEMXN51EhR4Gh4FATEh1tCEhCoZcnMc5ZArxXSFbR4NaGZGhQakCilNvSuFPdwjX9v2isqL7OWVQ,,40.684163,-73.947107,,"856 Marcy Ave, Brooklyn",,e7ce081e67694f375bb1f80490cfd13f62ea62e2,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Shurovin Corporation,CoQBdQAAAN8IkBMgEnHsE3GhY22bjJ-9bWsYVQA7ahR7TOC-oiqoP4CPu97Rr8jyAY_2Cm3UVnifnHp9oLuK9_WVA0InY33eVIOmhAhHtsEKJVtO9IW22HvUnIKRan7nYIkJUOpstJwzQQUC5opuAKESI2ULf8sMK_2jlXFXYdA4yqPcLzBYEhDN-ditkz1CtCmUQJ15rA2wGhReE9eGtnd5JRqWZKqJ0vFRCvz1sA,,40.590982,-73.940013,,"3810 Nostrand Ave, Brooklyn",,1c42ba673fad89f41054d41ed48e39fc48ea3d96,"['restaurant', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Sista's Place,CnRuAAAAKHJFlQ-uGCI_TxN5etN2F80dya4XYQ2_QZPzk7CHm8aKzwiMR8-DF9adlNeCm8vJRr5oqhD-eZMTjLV2eom-jAlwYFAqEeuT3REY3PVKeeam3onXin6xraUQoWZ_aJBvMo_3HvdzHDdVBoGB0T9cNBIQUtnecXZ0s9Kgr8IFDELZaxoUKS_jowb4rVafQPjwo6iWPNHGetY,,40.683378,-73.950448,{'open_now': False},"456 Nostrand Ave, New York",,45be7490ff67438a2579f90e0171bca1721d3ca3,"['cafe', 'food', 'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
